YEAR,NUM_PER_MILLION,NUM_TOKENS,NUM_WORDS
1810,0,0,44723
1811,0,0,40673
1812,0,0,99920
1813,0,0,15767
1814,0,0,37145
1815,0,0,209161
1816,0,0,92999
1817,0,0,392867
1818,0,0,94531
1819,0,0,154639
1820,0,0,292710
1821,0,0,258934
1822,0,0,637381
1823,0,0,1207108
1824,0,0,771215
1825,0,0,286596
1826,0,0,409868
1827,0,0,1700408
1828,0,0,635209
1829,0,0,734244
1830,0,0,704561
1831,0,0,708652
1832,0,0,1193025
1833,0,0,1303587
1834,0,0,1417633
1835,0,0,2824410
1836,0,0,1323026
1837,0,0,995635
1838,0,0,1195413
1839,0.94,2,2120746
1840,0,0,895711
1841,0,0,967002
1842,2.18,2,919319
1843,0,0,1663846
1844,0,0,1677424
1845,0,0,2192395
1846,0,0,1781827
1847,0,0,1721234
1848,0,0,2057233
1849,0,0,2184614
1850,0,0,1490833
1851,0,0,1544965
1852,0,0,1835790
1853,0,0,1806488
1854,0,0,1929124
1855,0,0,2074125
1856,0,0,2391816
1857,0,0,912657
1858,0,0,877945
1859,0,0,1620806
1860,0,0,1759658
1861,0,0,1246998
1862,0,0,1265004
1863,0.61,1,1633036
1864,0,0,2043029
1865,0,0,1112290
1866,0,0,1684546
1867,0,0,1794452
1868,0,0,1898923
1869,0,0,2637986
1870,0,0,1593754
1871,0,0,1929627
1872,0.64,1,1559840
1873,0.37,1,2691144
1874,1.54,3,1942644
1875,0,0,2643611
1876,0,0,1997010
1877,0,0,1510198
1878,0,0,1034219
1879,0,0,1696660
1880,0,0,2164321
1881,0,0,1472639
1882,1.07,2,1867913
1883,1.05,2,1910847
1884,0,0,2163865
1885,0,0,1863877
1886,0,0,2229906
1887,0,0,2222593
1888,0.96,2,2078642
1889,0.42,1,2392142
1890,0.62,1,1604726
1891,1.85,4,2158209
1892,2.22,4,1800846
1893,0,0,1722855
1894,0.43,1,2313557
1895,0.66,1,1526153
1896,0,0,3063446
1897,0.42,1,2369545
1898,0,0,1910368
1899,0,0,2189608
1900,0,0,2854257
1901,0,0,1350893
1902,0.87,2,2290302
1903,0,0,1468624
1904,0.54,1,1854338
1905,0,0,2313824
1906,0.99,2,2029593
1907,0.82,2,2429992
1908,3.01,6,1991579
1909,2.52,9,3573882
1910,29.58,65,2197379
1911,28.49,75,2632687
1912,27.17,66,2429147
1913,15.43,37,2398616
1914,16.34,43,2630984
1915,13.59,28,2059886
1916,14.75,29,1966458
1917,6.07,16,2635773
1918,4.42,7,1582025
1919,9.86,22,2232328
1920,6.77,30,4428492
1921,9.13,43,4708477
1922,17.19,92,5350860
1923,14.47,24,1658216
1924,12.68,18,1419626
1925,13.05,24,1839395
1926,6.84,8,1169833
1927,14.77,21,1421762
1928,19.25,40,2077827
1929,20.42,37,1811982
1930,13.41,30,2236902
1931,8.94,25,2797702
1932,10.39,28,2695536
1933,6.55,16,2442355
1934,7.26,16,2203429
1935,6.73,16,2377412
1936,7.96,19,2387508
1937,12.7,34,2676355
1938,12.72,31,2437867
1939,7.44,19,2553615
1940,5.33,13,2439752
1941,6.94,19,2738125
1942,7.13,18,2525106
1943,4.84,12,2479665
1944,4.55,9,1978150
1945,4.3,10,2326953
1946,5.51,15,2722144
1947,4.14,10,2414223
1948,3.32,8,2411828
1949,7.1,18,2534799
1950,4.91,13,2645725
1951,3.2,8,2503821
1952,5.24,13,2479405
1953,5.08,12,2360028
1954,4.8,11,2291927
1955,1.6,4,2492639
1956,3.85,10,2594542
1957,12.55,29,2310022
1958,3,8,2670520
1959,4.52,11,2431723
1960,4.62,12,2595120
1961,9.8,23,2346541
1962,7.44,21,2823099
1963,5.17,12,2323231
1964,3.34,7,2095753
1965,0.88,2,2282678
1966,3.38,8,2365355
1967,4.39,12,2732988
1968,3.61,8,2215244
1969,6.67,16,2398986
1970,5.78,16,2768414
1971,11.75,31,2638645
1972,1.99,5,2509585
1973,2.96,7,2365012
1974,3.19,7,2191708
1975,1.72,4,2324346
1976,2.1,5,2386579
1977,2.42,6,2478821
1978,2.89,6,2074743
1979,2.2,5,2269967
1980,3.83,10,2607704
1981,3.29,9,2735531
1982,2.45,6,2453444
1983,3.55,9,2537549
1984,4.74,12,2531443
1985,6.07,15,2469914
1986,4.3,10,2325147
1987,2.47,7,2830536
1988,3.53,9,2551294
1989,8.81,22,2496012
1990,5.22,8,1533395
1991,4.48,7,1563810
1992,3.39,7,2067394
1993,3.09,17,5500852
1994,3.65,9,2463393
1995,4.74,14,2951236
1996,1.57,4,2541575
1997,1.78,5,2808163
1998,3.9,12,3080046
1999,1.98,7,3544080
2000,2.8,9,3216713
2001,4.63,16,3456924
2002,5.55,17,3064243
2003,2.5,8,3195751
2004,4.4,17,3865480
2005,4.49,15,3343565
2006,2.79,10,3587891
2007,2.3,7,3039945
2008,2.4,2,834485
2009,1.86,4,2146020
