YEAR	TYPE	SOURCE	CONTEXT
1839	NF	ReportOnEducation	"school; and, from the child's guardian, and the Brought forward, 1950, CJyranasium or grammar school 300, in six classes. Paedagogium 80, five"
1887	NF	AnIntroduction	Zn + 2HCl = ZnCl2 + 2H 2:30:: 65:x 65 2 2x = 1950 x 30 x = 975 Ans. 975 g. Zn. Solve: -- (
1902	NF	AnticipationsReaction	"holding her own in the world, where will the moral censor of the year 1950 find this congenial following to gather stones? Much as we may regret it,"
1902	NF	AnticipationsReaction	"to believe that long before the year A. D. 2000, and very probably before 1950, a successful aeroplane will have soared and come home safe and sound. Directly"
1902	NF	AnticipationsReaction	"and one may even venture to picture something of the struggle the dead-locked marksmen of 1950, lying warily in their rifle-pits, will see. One conceives them at first"
1905	MAG	Atlantic	government in future. The French railways do not revert to the State until about 1950; but preparation for state management is already urged iu high quarters. It is
1905	NF	IntroductionsPyschology	"overdependence on another. Treacher (1989) traced the representation of the self from 1950 to 1985 in the British Woman magazine. She notes that in the 1950s,"
1907	MAG	NatGeog	"in our own cities? Thoughtful men are predicting a popula- tion of 200,000,000 in 1950 and 300,000, - 000 at the close of the century. How shall we"
1907	MAG	Atlantic	as rapidly as it has in the fifty years gone by. The house of 1950 will be as much superior in comfort and convenience to our homes of to-day as
1912	MAG	Forum	bring the other to book because each has professed to be thinking of the year 1950 or thereabouts. The German Anglophobe regarded King Edward as an unblushing monster of craft
1913	MAG	Outlook	"that unless there is a radical change in the prevailing methods of farming the year 1950 will see a shortage of 400,000,000 bushels in the wheat crop alone. Other crops"
1918	MAG	Atlantic	"with a colored map, under the title, Greater Germany and Central Europe about 1950. The extraordinary importance of this pamphlet is no longer open to question, for"
1918	MAG	Harpers	"system based upon the requirements, so far as they can be foreseen, of 1950; it has acquired large properties which have been set aside for parks; it"
1919	MAG	Harpers	", while they are working in July, 1936, perhaps, or even in 1950. Or, on the other hand, the particular matter in hand may be"
1919	MAG	Atlantic	"secure the peace of the world, will become of the potential scientific men of 1950? Suppose it to be possible to carry on this present top-heavy militarist system for"
1919	NF	SociologyModern	"cent. Professor Willcox has estimated that if this increasing divorce rate continues, by 1950 one fourth of all marriages in the United States will be terminated by divorce,"
1923	MAG	Harpers	25274 IN the year 1950 what we now call our I coal problem will have passed into history. For
1926	MAG	GoodHouse	"it, because of the permanent wave in our hair. And the children of 1950 will say incredulously: "" We can't believe it! "" For what they"
1928	MAG	Time	"President of the U. S. It can be supposed that he became President in about 1950, that the book is written perhaps 25 years after this. To supply a"
1929	NEWS	Chicago	"the suggested metropolitan area in comparison with the present estimated population and an estimate for 1950: Aim 1024. 1028, 1080. Meats.... 2,701,705 3,220,000 4500,004 Loa County outside"
1929	NEWS	Chicago	"Illinois in close proximity to Chi caSe.. Add to this an estimated 497,001 in 1950 just over the eastern bound - ary. line of Chicago in Lake county, Indiana which"
1929	NF	OurEconomicSystem	watch. 110. Do you believe that there will be relatively more entrepreneurs in 1950 than in 1928? Why? That entrepreneural ability in 1950 as compared with that
1929	NF	OurEconomicSystem	relatively more entrepreneurs in 1950 than in 1928? Why? That entrepreneural ability in 1950 as compared with that of 1928 will be more or less well paid? Why
1929	NF	RussellsSoilConditions	"Meiklcjohn,. Nature, 1949, 164, 667; J. Gen. Microbiol., 1950, 4, 185. a Arch. Mikrobiol., 1935, 6, 79. 9"
1930	NF	PrinciplesEngineering	"3 are as old as writings on the mathematics of finance. Since the early 1950's, however, the use of such calculations by industrial companies in the United"
1930	NF	PrinciplesEngineering	"evaluation of many proposed local public works projects within the United States. During the 1950's and 1960's, the same type of formulation of project evaluation standards was"
1930	NF	PrinciplesEngineering	illustrated in many examples and problems in the second (1938) and third (1950) editions of this book. Where straight-line depreciation was actually to be used in
1932	NEWS	Chicago	"Steen, former manager of checking accounts and bookkeeper for the Parkway State bank, 1950 North Clark street, from which she abstracted the funds. The woman has made"
1932	NEWS	NYT-Reg	"9%, Central 8s of 1941 10 and Gillf, Mobile &; Northern 5s of 1950 101/2. Bank stocks appreciated along with the other security markets. The bid price"
1933	NEWS	NYT-Reg	"of the company's 51/2 per cent sinking fund gold bonds due Aug. 1, 1950, and part of an issue of $13,484,000 dated Aug. 1, 1930, had"
1936	MAG	Time	"By the terms of Lawrence's will, The Mint can not be published until 1950. To comply with U. S. copyright laws and prevent printing, Publishers Doubleday,"
1936	NF	StoryOlympicGames	", inexplicably refusing to compete. They entered the European track championships at Brussels in 1950 and won by a whisker, thanks mainly to the point sweeps their Amazons made"
1936	NF	StoryOlympicGames	It would have interfered with the cricket matches and the football. This was in 1950 or thereabouts. But a couple of years later the trustees reconsidered the matter and
1937	MAG	Time	"by the new company. Holders of the third issue, the famed 5s of 1950, will be offered $200 in cash, $800 in preferred stock of the new"
1937	MAG	Harpers	"change. Who knows to-day how those two events will look to the historian of 1950? or of 2000? Who knows, for that matter, how the passage"
1937	MAG	Harpers	"you should happen to read this article in a bound volume of HARPER'S in 1950, will you wonder why I gave Lewis more space than Howard Scott and Dr."
1937	MAG	Harpers	"of what the answer will be, write it down now, save it till 1950, and then compare your foresight with, let us say, that of Mr."
1938	MAG	SatEvePost	". He has a wait ahead of him. He won't be out until 1950. Shackled Pens The convicts would prefer to read daily newspapers and detective magazines,"
1938	NF	TennesseeValley	"valued at $50,000,000.4= Assuming a normal increase in traffic, it is estimated that by 1950 the traffic using the waterway will be 17,800,000 tons, effecting an annual saving to"
1939	MAG	Time	", the life sentence should be commuted, Louis Whitsitt might be let out by 1950, or anyway by 1982. # So far, hopeful young Lifer Whitsitt has"
1939	MAG	Harpers	"we may begin to experience a balance of labor and opportunity, or perhaps by 1950. Ten years later than that we may need immigrants again if our birth rate"
1939	MAG	SatEvePost	"wife, and went to bed. 58 THE SATURDAY EVENING POST January 27, 1950 It was five weeks before he was well enough to resume work. During that"
1941	MAG	Time	"on a blanket license agreement for the first four years, 3% thereafter until January 1950. Payment on a pay-as-you-play basis was rejected by Mutual on grounds that the bookkeeping"
1943	MAG	Nation	"writers when she passed them On' Sunset' Boulevard. She was black-listed in 1950. Susskind, through his production agency, Talent Associates Ltd., submitted her name"
1945	MAG	Time	"'s General Manager George A. Carlin. He recently renewed Mrs. Roosevelt's contract until 1950, to run regardless of whether she was still First Lady. Added Carlin:"
1945	MAG	Atlantic	"upon manufacturers of teenage goods, with the prospect of crowded grade schools in the 1950's and high schools late in the decade, with a bumper crop of college"
1945	MAG	Atlantic	in our own country in the years just before Pearl Harbor. - In the 1950's the average American with a two-week vacation should be able to fly anywhere he
1945	MAG	Harpers	"in 1929 and 1944, but we don't know what it will mean in 1950. Any figure determined in advance must necessarily be an hypothesis. We don't"
1945	MAG	Harpers	There are some plausible indications that this moment might arrive in late 1949 or early 1950. The Administration is now gambling that the reconversion letdown will be pretty well over
1946	FIC	Harpers	"conceal the accident that occurred in the desert of New Mexico on May 11, 1950. It would have been impossible to keep it secret, since two internationally-known physicists"
1946	FIC	Harpers	"medical associations queried their members. Maternity hospitals followed suit. By the end of 1950, the answer was given with appalling finality. So far as could be ascertained"
1946	FIC	Harpers	"latest generation became nubile, it was dishearteningly obvious that the transformation caused by the 1950 accident was hereditary; for the last kittens and puppies grew up, came into"
1946	FIC	Harpers	"final intensive effort to discover a way to reverse the disaster of May 11, 1950. They became known as the Ingrid Anderson Research Commissions -- popularly known as IARC"
1946	FIC	Harpers	their facilities unlimited. At first they were all members of the generation alive in 1950; gradually young people from what was (rather hopelessly) universally known as the
1946	FIC	Harpers	"mind's eye a contrast -- a contrast between the world as it was in 1950, and the world as it is today. "" I was not born in"
1946	FIC	Harpers	", and the world as it is today. "" I was not born in 1950. But I have read? read not only the literature of before that date"
1946	FIC	Harpers	"past as has the oldest man or woman alive. "" In the half-century preceding 1950, the whole globe had twice been ravaged by a devastating total war, and"
1946	FIC	Harpers	"a third such war was imminent. Today there is no war. "" In 1950 the world was divided among more than a hundred sovereign nationalities, each jealous of"
1946	FIC	Harpers	"and conducted, and with authority over every human being on earth. "" In 1950 mass starvation and famine, and disastrous economic depressions, were endemic. Today everyone"
1946	FIC	Harpers	"I need not mention other aspects of the situation -- the prevalence of crime in 1950, its virtual absence today; the treatment of alien races and nationalities by peoples"
1946	FIC	Harpers	can we guarantee that we are not thereby bringing back all the evils which in 1950 made life hardly worth the living to at least a large minority of its inhabitants
1946	FIC	Harpers	"that that child can never be born. The first child to be conceived since 1950 will also be the last child to be conceived, forever. "" "" That"
1946	MAG	GoodHouse	"suggested. "" Right now the divorce rate in this country is booming. By 1950, we expect that two out of every three wartime marriages will have ended in"
1946	MAG	Atlantic	"a substantial birth deficit for the war years. Even with such losses, by 1950 the population of the Soviet Union within the old boundaries should be larger than it"
1946	MAG	Harpers	"to an increase in steel production to thirty-five or forty million tons a year by 1950, which is far above the 1940-41 figure of a little less than twenty milliontons"
1946	MAG	Harpers	"very generous terms.) Pr HE official comments insist that RusI sia, by 1950, should be able to supply all her peacetime and wartime needs in the basic"
1946	MAG	Harpers	"let alone those of heavily industrialized countries such as Poland and Czechoslovakia. But by 1950, according to the press comments on the new plan, she is to be"
1946	MAG	Harpers	"will tell you that Labor is bound to "" throw in its hand "" before 1950, when the normal life of the present Parliament expires, because of discouragement about"
1946	MAG	Harpers	. The new Five Year Plan aims to raise the average to 500 roubles by 1950.) Nor do the women always work at the genteel indoor jobs which are
1946	MAG	Harpers	increased 27 per cent; the number of automobiles in service will be doubled by 1950; 85 million square meters of living space will be built or repaired; and
1946	MAG	Harpers	"Private cars will continue to be almost unknown. Food supplies should be adequate by 1950, at least in starches. But when it comes to such items as meats"
1946	MAG	Harpers	"; it merely says that "" the marketable stocks.. shall be greater in 1950 than in 1940. "" It does promise, though, that "" the assortment"
1947	FIC	GentlemansAgreement	"two other men were having a loud argument about when the war would end. "" 1950, "" one of the men kept saying. "" The fall of 1950- Wars"
1947	FIC	GentlemansAgreement	"deal with the Bulgarians or the Egyptians or the Mexicans or anybody. "" "" 1950, "" the first man said loudly. "" Take my word for it."
1947	MAG	Time	will not have atomic weapons before then. It will not have long-range aircraft before 1950. # One Pistol-One Ammunition. The strangest fugitives were the Ukrainians. For international
1947	MAG	Time	"room for dynamic expansion in the U.S. economy. Thus the report estimates that in 1950 57,000,000 will be employed. They will be working fewer hours (an average of"
1947	MAG	Time	. The U.S. would have to turn out goods &; services worth $200 billion by 1950 and $219 billion by 1960. # Plenty of Elbow Grease. The key to
1947	MAG	Time	"first volume in English, covering the period 1889-1913 (two others are promised before 1950), is apt to get about the same degree of critical genuflection-and popular indifference-that"
1947	MAG	Time	"West Point greys, ex-Major Clark was studying hard in the hope of emerging in 1950 as a shiny new second lieutenant. # He was not alone. While most"
