YEAR	TYPE	SOURCE	CONTEXT
1904	FIC	JessicaLetters	"last outbreak of humanitarian unrighteousness -- unrighteousness, I say, vaunting materialism, undisciplined feminism, everything that denotes moral deliquescence. Of course I see the good, even"
1905	NF	IntroductionsPyschology	of men re-establishing their' deep masculinity' and defending it against the encroachments of feminism. There is much focus placed on the emotional dimensions of men's relationships with
1905	NF	IntroductionsPyschology	"is often referred to by the mass media as the outcome of two decades of feminism. Men, it is suggested, have responded to changes in gender relations by"
1905	NF	IntroductionsPyschology	"former distinctions between hegemonic notions of masculinity and femininity. In the wake of second-wave feminism, women are now expected to participate in the sphere of paid labour as well"
1907	FIC	Convert	"We oughtn't to do anything, or say anything to encourage this ferment of feminism -- and I'll tell you why: it's likely to bring a very"
1907	FIC	Play:VotesWomen	". We oughtn't to do anything or say anything to encourage this ferment of feminism, and I'll tell you why: it's likely to bring a very"
1910	MAG	Dial	"is apparently the most substantial profit that he gets. Allied to the question of feminism, of which Lady Cicely and Mrs. Clandon are but two out of many examples"
1910	MAG	Atlantic	"an extraordinary code of manners came into fashion, based on a new theory of feminism and largely due to the initiative of influential women themselves. How far this theory"
1912	MAG	GoodHouse	"But Sesame Garden, in which love and laughter, progressive science and the sweetest feminism have found their way, is a little park in the midst of the busy"
1914	MAG	Atlantic	"a reduetio ad absurdum for the whole feminist programme.' If this is what Feminism means, let us have no more of it.' And it is not"
1914	NF	PsychologySocial	"its intended chief effect of improving morally the social community. In fact, neither feminism nor aestheticism could have secured this indulgence of the community in the new movement,"
1915	MAG	Independent	met by the organized opposition of women. Woman suffrage is the political phase of feminism; the whole sweep of the relation of the sexes must be revised if the
1916	MAG	Outlook	"from Europe than what effect the great war will have on the political side of feminism. Political issues are dead in the belligerent nations. Men are not voting,"
1916	MAG	Outlook	held. Women are not philosophizing about the future; they are quite simply living feminism day by day. Probably in that lies the promise of victory for votes for
1916	MAG	Atlantic	"one of the leaks through which there gushed out the life of Europe. II Feminism has not in vented this courage, for there have always been brave women;"
1916	MAG	Atlantic	"life. But even though this work and its significance may have been facilitated by feminism, no woman would present the bill to men and say that we have thereby"
1916	MAG	Nation	", only rather more so. But if Dr. Lavender had had the problems of feminism to deal with, among his other problems, he would have approached them,"
1917	NEWS	NYT-Let (1)	"of admitting into the political arena an influx of pacifism, socialism. and feminism, upholders of true patriotism exhort all voters to do their utmost to defeat the"
1919	NF	SociologyModern	"as the "" Woman's Movement "" and in its more radical phases as "" Feminism. "" The woman's move-ment has accompanied and in part effected the eman-cipation of"
1920	FIC	MainStreet	"discussions of Freud, Romain Rolland, syndicalism, the Confederation Generale du Travail, feminism vs. haremism, Chinese lyrics, nationalization of mines, Christian Science, and fishing"
1921	FIC	FlamingForest	"the soft, thick coils of her hair. That little movement, the unconscious feminism of it, the way she folded her hands in her lap afterward, disturbed"
1921	NF	MysticIslesSouth	ladies of London and of Washington that we are in advance of their most determined feminism. They will come to it. More women than men in Europe will bring
1921	NF	NewWorldIslam	"parliamentary government, nationalism, scientific education, industrialism, and even ultra-modern concepts like feminism, socialism, Bolshevism. Stirred by the interaction of all these novel forces and"
1922	FIC	TrampingOnLife	"daughter... the next generation will see a great age of freedom for women... feminism.... "" Then it would be a grand thing, too, to have a"
1922	FIC	TrampingOnLife	"and the act which followed it as a serious problem in aesthetics, economics, feminism, and what-not... and the two would have talked and discussed, their voices"
1922	MAG	Nation	president of the university should be warned that in this situation is a breeding-place of feminism in its most virulent and pugnacious forms. It may not appear in the pamphlet
1923	MAG	Atlantic	"wooden comb, and the other a knife or scissors and sometimes a fiat- 188 FEMINISM IN NYASALAND iron to flatten the recalcitrant curls, as it is every black man"
