YEAR,NUM_PER_MILLION,NUM_TOKENS,NUM_WORDS
1810,0,0,44723
1811,0,0,40673
1812,0,0,99920
1813,0,0,15767
1814,0,0,37145
1815,0,0,209161
1816,0,0,92999
1817,0,0,392867
1818,0,0,94531
1819,0,0,154639
1820,0,0,292710
1821,0,0,258934
1822,0,0,637381
1823,0,0,1207108
1824,0,0,771215
1825,0,0,286596
1826,0,0,409868
1827,0,0,1700408
1828,0,0,635209
1829,0,0,734244
1830,0,0,704561
1831,0,0,708652
1832,0,0,1193025
1833,0,0,1303587
1834,0,0,1417633
1835,0,0,2824410
1836,0,0,1323026
1837,0,0,995635
1838,0,0,1195413
1839,0,0,2120746
1840,0,0,895711
1841,0,0,967002
1842,0,0,919319
1843,0,0,1663846
1844,0,0,1677424
1845,0,0,2192395
1846,0,0,1781827
1847,0,0,1721234
1848,0,0,2057233
1849,0,0,2184614
1850,0,0,1490833
1851,0,0,1544965
1852,0,0,1835790
1853,0,0,1806488
1854,0,0,1929124
1855,0,0,2074125
1856,0,0,2391816
1857,0,0,912657
1858,0,0,877945
1859,0,0,1620806
1860,0,0,1759658
1861,0,0,1246998
1862,0,0,1265004
1863,0,0,1633036
1864,0,0,2043029
1865,0,0,1112290
1866,0,0,1684546
1867,0,0,1794452
1868,0,0,1898923
1869,0,0,2637986
1870,0,0,1593754
1871,0,0,1929627
1872,0,0,1559840
1873,0,0,2691144
1874,0,0,1942644
1875,0,0,2643611
1876,0,0,1997010
1877,0,0,1510198
1878,0,0,1034219
1879,0,0,1696660
1880,0,0,2164321
1881,0,0,1472639
1882,0,0,1867913
1883,0,0,1910847
1884,0,0,2163865
1885,0,0,1863877
1886,0,0,2229906
1887,0,0,2222593
1888,0,0,2078642
1889,0,0,2392142
1890,0,0,1604726
1891,0,0,2158209
1892,0,0,1800846
1893,0,0,1722855
1894,0,0,2313557
1895,0,0,1526153
1896,0,0,3063446
1897,0,0,2369545
1898,0,0,1910368
1899,0,0,2189608
1900,0,0,2854257
1901,0,0,1350893
1902,0,0,2290302
1903,0,0,1468624
1904,1,1,1854338
1905,1,3,2313824
1906,0,0,2029593
1907,1,2,2429992
1908,0,0,1991579
1909,0,0,3573882
1910,1,2,2197379
1911,0,0,2632687
1912,0,1,2429147
1913,0,0,2398616
1914,1,2,2630984
1915,0,1,2059886
1916,3,6,1966458
1917,0,1,2635773
1918,0,0,1582025
1919,0,1,2232328
1920,0,1,4428492
1921,1,3,4708477
1922,1,3,5350860
1923,4,7,1658216
1924,0,0,1419626
1925,7,13,1839395
1926,1,1,1169833
1927,0,0,1421762
1928,1,2,2077827
1929,0,0,1811982
1930,1,2,2236902
1931,0,1,2797702
1932,0,0,2695536
1933,0,0,2442355
1934,1,2,2203429
1935,2,5,2377412
1936,0,0,2387508
1937,0,1,2676355
1938,0,0,2437867
1939,0,0,2553615
1940,0,0,2439752
1941,0,0,2738125
1942,0,0,2525106
1943,0,1,2479665
1944,1,2,1978150
1945,0,0,2326953
1946,0,0,2722144
1947,0,0,2414223
1948,0,0,2411828
1949,0,0,2534799
1950,0,0,2645725
1951,0,1,2503821
1952,0,1,2479405
1953,0,0,2360028
1954,0,0,2291927
1955,0,0,2492639
1956,0,1,2594542
1957,0,0,2310022
1958,0,0,2670520
1959,0,1,2431723
1960,0,0,2595120
1961,0,0,2346541
1962,0,0,2823099
1963,0,0,2323231
1964,0,0,2095753
1965,0,0,2282678
1966,0,0,2365355
1967,0,0,2732988
1968,0,0,2215244
1969,0,0,2398986
1970,1,2,2768414
1971,0,1,2638645
1972,0,0,2509585
1973,0,1,2365012
1974,2,4,2191708
1975,2,4,2324346
1976,0,1,2386579
1977,0,1,2478821
1978,1,2,2074743
1979,0,0,2269967
1980,2,4,2607704
1981,1,2,2735531
1982,3,7,2453444
1983,4,11,2537549
1984,3,7,2531443
1985,2,4,2469914
1986,2,5,2325147
1987,1,2,2830536
1988,2,4,2551294
1989,2,6,2496012
1990,6,9,1533395
1991,7,11,1563810
1992,4,9,2067394
1993,1,6,5500852
1994,9,22,2463393
1995,1,4,2951236
1996,3,8,2541575
1997,3,9,2808163
1998,2,6,3080046
1999,1,3,3544080
2000,2,7,3216713
2001,6,19,3456924
2002,4,12,3064243
2003,3,8,3195751
2004,4,14,3865480
2005,3,11,3343565
2006,2,6,3587891
2007,3,9,3039945
2008,7,6,834485
2009,1,3,2146020
