YEAR	TYPE	SOURCE	CONTEXT
1815	FIC	FalseShame	. AdelaideRuns to meet him Dear papa! the south wind has brought a terrible influenza into your garden. Everything pairs. Everything will marry. Bar. Baroness So
1832	MAG	NewEngMag	"men whom death has this season claimed, under the agency of colds and "" Influenza, "" is to be ranked STEPHEN GIRARD, the celebrated Banker. He died"
1832	NF	DissertationOn	"says, that at Philadelphia it was equally ineffectual, in preserving its votaries from influenza and yellow fever. Excuse ourselves as we may, it is at best a"
1834	FIC	KentuckianInNew	", it's a fact; it seems to be goin about now like the influenza and the cholera, and the parsons are dragged about like country doctors in a"
1834	FIC	AuthorFromTheAtlantic	"and had taken the most undisguised method of blasting my hopes. A most diabolical influenza had for some time raged in the city, which on this very evening seemed"
1838	FIC	CharcoalSketches	"deserves a medal from the faculty for cutting out doctor's work, especially in influenza times. The straps and buckles of Duberly's resolution will not hold, no"
1838	FIC	CharcoalSketches	"The theatrical mania was by no means prevalent. It went and came like the influenza, sometimes carrying off its victims; but they were not multitudinous. Our actors"
1840	FIC	LifeInTheClouds	"would with pleasure, but, I grieve to say, I've got the influenza. Ixion. Ixion Ah, that's the way -- You singers always want"
1842	FIC	CareerPufferHopkins	"a weto message from the presidin' chief of these United States, and a influenza is equally fatal to the woice of the news-boy. Then there's you,"
1843	FIC	VariousWritings	"that a weto message from the presidin' chief of these United States and a influenza, is equally fatal to the woice of the newsboy. Then there's you"
1850	FIC	LorgnetteStudies	"influence may be likened (to carry out our medical typography) to a mild influenza, characterized by frequent sneezings, to which old ladies are peculiarly subject, and"
1850	MAG	NorthAmRev	"hroken out at different times, and after raging for a while, like the influenza, have then subsided with quite as little effect as the influenza would have produced"
1850	MAG	NorthAmRev	", like the influenza, have then subsided with quite as little effect as the influenza would have produced upon the general constitution of the patient. If any one should"
1851	NF	PersonalMemoirs	", that in the sudden change of habits he had been affected with a dreadful influenza. My own health continued to be unimpaired, and my spirits were buoyant."
1853	FIC	PrismaticsByRichard	"mine, and pressed it very hard. Poor Rowley! At this time the influenza was prevalent in our part of the town, sometimes attended with all the symptoms"
