YEAR,NUM_PER_MILLION,NUM_TOKENS,NUM_WORDS
1810,0,0,44723
1811,0,0,40673
1812,0,0,99920
1813,0,0,15767
1814,0,0,37145
1815,5,1,209161
1816,0,0,92999
1817,0,0,392867
1818,0,0,94531
1819,0,0,154639
1820,0,0,292710
1821,0,0,258934
1822,0,0,637381
1823,0,0,1207108
1824,0,0,771215
1825,0,0,286596
1826,0,0,409868
1827,0,0,1700408
1828,0,0,635209
1829,0,0,734244
1830,0,0,704561
1831,0,0,708652
1832,2,2,1193025
1833,0,0,1303587
1834,1,2,1417633
1835,0,0,2824410
1836,0,0,1323026
1837,0,0,995635
1838,2,2,1195413
1839,0,0,2120746
1840,1,1,895711
1841,0,0,967002
1842,1,1,919319
1843,1,1,1663846
1844,0,0,1677424
1845,0,0,2192395
1846,0,0,1781827
1847,0,0,1721234
1848,0,0,2057233
1849,0,0,2184614
1850,2,3,1490833
1851,1,1,1544965
1852,0,0,1835790
1853,1,1,1806488
1854,1,2,1929124
1855,0,1,2074125
1856,0,0,2391816
1857,0,0,912657
1858,1,1,877945
1859,0,0,1620806
1860,1,1,1759658
1861,0,0,1246998
1862,0,0,1265004
1863,1,1,1633036
1864,0,1,2043029
1865,0,0,1112290
1866,1,2,1684546
1867,2,3,1794452
1868,1,1,1898923
1869,0,0,2637986
1870,1,1,1593754
1871,3,5,1929627
1872,0,0,1559840
1873,0,1,2691144
1874,1,2,1942644
1875,1,2,2643611
1876,1,1,1997010
1877,0,0,1510198
1878,1,1,1034219
1879,0,0,1696660
1880,0,1,2164321
1881,0,0,1472639
1882,0,0,1867913
1883,0,0,1910847
1884,0,1,2163865
1885,1,1,1863877
1886,0,0,2229906
1887,0,0,2222593
1888,0,1,2078642
1889,0,0,2392142
1890,1,1,1604726
1891,0,0,2158209
1892,2,3,1800846
1893,0,0,1722855
1894,0,1,2313557
1895,0,0,1526153
1896,1,2,3063446
1897,1,2,2369545
1898,1,1,1910368
1899,0,1,2189608
1900,0,0,2854257
1901,0,0,1350893
1902,0,0,2290302
1903,1,2,1468624
1904,0,0,1854338
1905,0,0,2313824
1906,1,2,2029593
1907,1,3,2429992
1908,1,1,1991579
1909,2,8,3573882
1910,1,2,2197379
1911,1,3,2632687
1912,0,0,2429147
1913,0,1,2398616
1914,1,2,2630984
1915,0,1,2059886
1916,0,0,1966458
1917,1,2,2635773
1918,4,7,1582025
1919,7,16,2232328
1920,6,27,4428492
1921,1,6,4708477
1922,1,6,5350860
1923,3,5,1658216
1924,5,7,1419626
1925,2,3,1839395
1926,3,3,1169833
1927,8,12,1421762
1928,12,25,2077827
1929,8,15,1811982
1930,2,5,2236902
1931,1,3,2797702
1932,1,4,2695536
1933,6,14,2442355
1934,2,4,2203429
1935,3,7,2377412
1936,8,19,2387508
1937,3,9,2676355
1938,2,4,2437867
1939,2,6,2553615
1940,5,13,2439752
1941,5,14,2738125
1942,2,4,2525106
1943,5,13,2479665
1944,2,4,1978150
1945,8,19,2326953
1946,3,9,2722144
1947,2,5,2414223
1948,1,3,2411828
1949,2,5,2534799
1950,2,5,2645725
1951,1,3,2503821
1952,0,0,2479405
1953,3,8,2360028
1954,0,0,2291927
1955,1,3,2492639
1956,3,8,2594542
1957,9,21,2310022
1958,1,2,2670520
1959,1,2,2431723
1960,2,5,2595120
1961,1,3,2346541
1962,1,2,2823099
1963,0,0,2323231
1964,10,21,2095753
1965,0,0,2282678
1966,1,2,2365355
1967,1,2,2732988
1968,3,6,2215244
1969,1,3,2398986
1970,1,4,2768414
1971,0,1,2638645
1972,2,6,2509585
1973,2,4,2365012
1974,1,2,2191708
1975,4,10,2324346
1976,12,28,2386579
1977,2,5,2478821
1978,1,2,2074743
1979,1,2,2269967
1980,2,4,2607704
1981,9,24,2735531
1982,2,5,2453444
1983,2,4,2537549
1984,0,0,2531443
1985,1,3,2469914
1986,2,4,2325147
1987,2,5,2830536
1988,0,0,2551294
1989,1,2,2496012
1990,1,1,1533395
1991,0,0,1563810
1992,1,2,2067394
1993,1,3,5500852
1994,5,12,2463393
1995,1,4,2951236
1996,0,1,2541575
1997,1,3,2808163
1998,5,15,3080046
1999,1,4,3544080
2000,4,12,3216713
2001,2,8,3456924
2002,2,6,3064243
2003,1,4,3195751
2004,3,11,3865480
2005,6,20,3343565
2006,5,18,3587891
2007,9,27,3039945
2008,4,3,834485
2009,1,2,2146020
